Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1096,0,17,63.8373498548881,8.89103696681559,4174.549921997823,17645.0,18.545453967450953,0.0,17,20,23,25,33,43,130,2200,4000,4200,4200
GET,GET /customers (find id),277,0,17,48.67305347758147,8.22237302782014,2551.037842000369,17645.0,4.687126595788243,0.0,17,21,24,26,32,39,160,1800,2600,2600,2600
GET,GET /health,101,0,220.0,296.3544842435536,190.19120000302792,3586.4809110062197,130.0,1.7090244988253158,0.0,220,230,240,250,260,280,1500,2700,3600,3600,3600
GET,GET /inventory,383,0,45,126.95932895852151,28.08843698585406,4206.752611964475,4776.0,6.480756267822732,0.0,45,52,56,58,71,83,2500,4000,4200,4200,4200
GET,GET /products,1251,0,17,67.17929577183754,9.094535023905337,4355.6018130038865,13088.0,21.16821433693535,0.0,17,21,24,27,36,50,1200,2100,4200,4400,4400
GET,GET /sales-orders,939,0,17,74.1249111019069,8.215704001486301,4361.5196800092235,477.0,15.888851528682887,0.0,17,21,24,26,34,45,1300,2300,4400,4400,4400
GET,GET /users,153,0,26,80.53017213211693,14.088704017922282,4002.42913904367,596.0,2.588918300200726,0.0,26,30,34,37,45,61,180,2100,4000,4000,4000
POST,POST /auth/login,100,0,2300.0,2556.42921899911,752.6860130019486,4491.01373704616,301.0,1.6921034641834811,0.0,2300,3000,3300,3500,4300,4500,4500,4500,4500,4500,4500
,Aggregated,4300,0,19,135.72419207566148,8.215704001486301,4491.01373704616,10002.60511627907,72.76044895988969,0.0,19,25,31,36,58,240,2400,3300,4500,4500,4500
