Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1492,0,14,17.288039716005255,7.521660008933395,269.4186120061204,17645.0,4.99647104350341,0.0,14,17,19,21,27,33,39,46,240,270,270
GET,GET /customers (find id),390,0,15,16.758526532271972,8.384365995880216,43.91800198936835,17645.0,1.30604806096939,0.0,15,17,19,21,26,31,38,43,44,44,44
GET,GET /health,135,0,220.0,312.3756392971026,188.75371001195163,4166.084432974458,130.16296296296295,0.45209355956632735,0.0,220,230,240,240,260,270,4100,4100,4200,4200,4200
GET,GET /inventory,536,0,41,46.76289475521198,26.729517965577543,524.9959920183755,4776.0,1.7949788735374181,0.0,41,46,50,53,64,71,84,110,520,520,520
GET,GET /products,1777,0,14,16.723017171558546,7.813420030288398,229.80622301110998,13088.0,5.950890780365657,0.0,14,17,18,20,25,31,37,42,190,230,230
GET,GET /sales-orders,1333,0,14,16.896474488463465,7.73800298338756,484.7007889766246,477.0,4.464005295569736,0.0,14,16,19,20,26,31,38,48,170,480,480
GET,GET /users,177,0,23,26.12546212921224,14.814059948548675,69.18693898478523,596.0,0.5927448892091848,0.0,23,27,31,33,38,44,51,56,69,69,69
POST,POST /auth/login,25,0,300.0,370.78748039435595,244.3072299938649,536.4650169503875,301.0,0.08372102954931988,0.0,300,480,490,500,530,530,540,540,540,540,540
,Aggregated,5865,0,15,28.252156745350245,7.521660008933395,4166.084432974458,10194.651662404092,19.640953532270444,0.0,15,19,24,28,39,53,220,240,530,4200,4200
