Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,555,0,21,30.226517697850763,9.655327012296766,914.4891319447197,17645.0,9.398844361093637,0.0,21,24,27,29,37,46,150,280,910,910,910
GET,GET /customers (find id),140,0,21,33.41251288698653,9.348116989713162,562.7280889893882,17645.0,2.3708796586542507,0.0,21,25,29,31,38,52,270,490,560,560,560
GET,GET /health,50,0,230.0,234.2158195853699,200.4427290521562,357.4513750500046,129.0,0.846742735233661,0.0,230,240,240,250,280,280,360,360,360,360,360
GET,GET /inventory,190,0,54,64.686257575369,30.241183005273342,612.8763980232179,4776.0,3.2176223938879116,0.0,54,61,68,71,86,100,270,350,610,610,610
GET,GET /products,722,0,20,30.174390473493332,8.910964010283351,729.6395489829592,13088.047091412742,12.226965096774064,0.0,20,24,27,29,36,49,150,310,730,730,730
GET,GET /sales-orders,462,0,20,31.32643469748414,8.50793404970318,898.7938679638319,477.0,7.823902873559027,0.0,20,24,26,28,36,41,77,500,900,900,900
GET,GET /users,84,0,32,47.01736920105759,14.82005201978609,905.5900759994984,596.0,1.4225277951925506,0.0,32,35,37,39,44,68,240,910,910,910,910
POST,POST /auth/login,50,0,690.0,651.325935361674,252.19720997847617,1045.8407379919663,301.0,0.846742735233661,0.0,700,720,890,920,930,1000,1000,1000,1000,1000,1000
,Aggregated,2253,0,23,52.476310509607764,8.50793404970318,1045.8407379919663,10169.650687971593,38.154227649628766,0.0,23,28,33,38,62,230,490,720,1000,1000,1000
