Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /customers,1119,0,15,56.49902693235662,7.6055259560234845,4048.301287984941,17645.0,18.930402091694912,0.0,15,18,21,23,30,45,560,1800,3800,4000,4000
GET,GET /customers (find id),294,0,14,51.00397542348689,8.03636503405869,3937.8161830245517,17645.0,4.973671327040487,0.0,14,16,18,21,26,36,230,2100,3900,3900,3900
GET,GET /health,74,0,220.0,303.9284524896396,188.20462899748236,2850.052052002866,130.0,1.2518764564659728,0.0,220,230,240,240,260,280,2500,2900,2900,2900,2900
GET,GET /inventory,405,0,45,109.33334718567583,25.228640995919704,4008.5867820307612,4776.0,6.851486011739446,0.0,45,51,57,61,73,98,1300,2300,4000,4000,4000
GET,GET /products,1274,0,14,80.77162458827088,7.21553701441735,4493.987574998755,13088.0,21.552575750508776,0.0,14,17,20,22,30,44,1400,2300,4200,4500,4500
GET,GET /sales-orders,889,0,14,45.674367734996856,7.459470012690872,3790.0547279859893,477.0,15.039434727003377,0.0,14,17,20,22,29,40,290,1600,3800,3800,3800
GET,GET /users,143,0,26,81.66058189797351,13.981161988340318,1787.711292039603,596.0,2.419166665873434,0.0,26,32,36,40,48,210,1300,1700,1800,1800,1800
POST,POST /auth/login,100,0,2100.0,2289.6438451478025,479.0395679883659,5054.028291953728,301.0,1.6917249411702335,0.0,2100,2600,3300,3300,4500,5100,5100,5100,5100,5100,5100
,Aggregated,4298,0,16,123.11254103636668,7.21553701441735,5054.028291953728,10258.208003722662,72.71033797149664,0.0,16,21,27,33,55,270,2100,2900,5100,5100,5100
